Transaction_ID,Customer_ID,Transaction_Type,Amount_Spent,Frequency,Payment_Method,Merchant_Category,Location
288,199,Online Shopping,1639.6662875245245,16,Net Banking,Online Marketplace,Urban
289,31,Public Transport,1473.3354830885594,7,Net Banking,Supermarket,Suburban
290,359,Online Shopping,1074.308428865021,3,Cash,Luxury Goods,Rural
291,80,Online Shopping,708.6780033046488,7,Debit Card,Online Marketplace,Urban
292,266,Electricity,1075.525671825376,26,Credit Card,Fuel Station,Rural
293,74,Dining,1728.5918045409805,11,UPI,Local Vendors,Suburban
294,270,Electricity,356.68189435134605,12,Net Banking,Online Marketplace,Rural
295,146,Fuel,1799.2487498392688,9,Net Banking,Fuel Station,Rural
296,208,Fuel,140.98753360577618,13,UPI,Fuel Station,Rural
297,58,Hotel Stay,1621.3289025259396,4,Cash,Fuel Station,Suburban
298,109,Flights,1737.6494188871407,13,Net Banking,Fuel Station,Suburban
299,401,Dining,274.83927586207034,19,Credit Card,Online Marketplace,Rural
300,48,Ride Sharing,336.5975589510248,10,Cash,Retail Store,Suburban
301,489,Online Shopping,1368.5485912008219,26,Cash,Supermarket,Urban
302,309,Electricity,581.8169369104133,18,Debit Card,Luxury Goods,Urban
303,309,Online Shopping,140.4047136953763,23,UPI,Retail Store,Rural
304,441,Hotel Stay,1084.3771432402384,29,UPI,Fuel Station,Suburban
305,452,Ride Sharing,1016.3581471163293,8,Debit Card,Retail Store,Suburban
306,40,Flights,350.7525841411084,26,Cash,Luxury Goods,Suburban
307,464,Groceries,1317.7410536646917,18,Debit Card,Fuel Station,Urban
308,179,Flights,553.3432698417821,24,UPI,Supermarket,Urban
309,490,Flights,1184.5818691941276,5,Debit Card,Online Marketplace,Rural
310,423,Public Transport,402.67195728031345,21,Net Banking,Retail Store,Suburban
311,340,Online Shopping,1321.3259895595636,20,Debit Card,Luxury Goods,Rural
312,140,Dining,1342.781354900644,18,Net Banking,Local Vendors,Urban
313,446,Electricity,470.3025293034532,27,Credit Card,Fuel Station,Rural
314,236,Hotel Stay,328.10546214323466,29,Net Banking,Retail Store,Suburban
315,265,Fuel,599.5961312708233,26,Debit Card,Luxury Goods,Urban
316,448,Flights,1262.997430779625,13,Net Banking,Local Vendors,Rural
317,71,Electricity,1128.6483608903586,17,Net Banking,Fuel Station,Urban
318,244,Groceries,520.2622674261495,21,Net Banking,Online Marketplace,Urban
319,401,Hotel Stay,399.6614287456054,15,Debit Card,Supermarket,Suburban
320,53,Ride Sharing,1691.479753221366,29,Cash,Online Marketplace,Suburban
321,460,Online Shopping,500.6097711409631,6,Cash,Supermarket,Urban
322,358,Fuel,1796.1625936206717,5,UPI,Retail Store,Rural
323,307,Fuel,1913.4468933142316,11,Credit Card,Online Marketplace,Rural
324,168,Ride Sharing,1610.6622618006306,27,UPI,Retail Store,Suburban
325,330,Flights,206.64635651250512,24,Net Banking,Fuel Station,Rural
326,50,Flights,141.0118139374311,16,Net Banking,Retail Store,Suburban
327,174,Hotel Stay,570.9783560311618,4,Debit Card,Local Vendors,Suburban
328,156,Electricity,1143.2033228407188,27,Net Banking,Local Vendors,Rural
329,45,Public Transport,1035.2190241727885,20,Credit Card,Online Marketplace,Urban
330,237,Groceries,1924.754430774852,15,Credit Card,Luxury Goods,Rural
331,426,Fuel,314.5147553378244,6,UPI,Supermarket,Suburban
332,127,Electricity,1194.8040774818771,29,Debit Card,Online Marketplace,Suburban
333,105,Fuel,907.4949669883199,19,Debit Card,Local Vendors,Urban
334,11,Flights,1067.2979686468425,2,Credit Card,Fuel Station,Rural
335,118,Electricity,57.68645684281461,12,Net Banking,Online Marketplace,Urban
336,149,Ride Sharing,451.26630899380007,25,UPI,Fuel Station,Rural
337,184,Fuel,67.18917019308354,21,UPI,Luxury Goods,Suburban
338,62,Ride Sharing,1148.5226490710857,26,Debit Card,Luxury Goods,Suburban
339,140,Online Shopping,1529.6847346198333,17,Cash,Luxury Goods,Rural
340,424,Online Shopping,1875.050170572186,13,Cash,Supermarket,Urban
341,336,Electricity,1362.6933706221955,14,Credit Card,Fuel Station,Urban
342,373,Dining,986.021468154535,2,Net Banking,Supermarket,Suburban
343,59,Electricity,953.1289061112152,12,Debit Card,Retail Store,Suburban
344,166,Dining,149.40533927365962,2,Cash,Fuel Station,Urban
345,305,Ride Sharing,683.4492007004908,14,Debit Card,Supermarket,Rural
346,71,Ride Sharing,460.27052874698325,28,Credit Card,Online Marketplace,Urban
347,202,Fuel,1320.8577155491555,6,Net Banking,Supermarket,Rural
348,211,Public Transport,767.388196568083,3,Cash,Local Vendors,Urban
349,154,Groceries,1864.3446887607045,16,UPI,Local Vendors,Rural
350,104,Public Transport,1679.4005917326788,13,Credit Card,Online Marketplace,Suburban
351,275,Flights,165.85926214231887,26,Net Banking,Luxury Goods,Suburban
352,281,Flights,1714.7373725433386,21,Cash,Luxury Goods,Suburban
353,121,Groceries,431.45591172339476,16,UPI,Luxury Goods,Suburban
354,240,Flights,465.96059496901853,20,Net Banking,Local Vendors,Suburban
355,361,Hotel Stay,1110.73780073819,15,UPI,Retail Store,Suburban
356,390,Dining,1120.4964765636025,6,Debit Card,Fuel Station,Suburban
357,270,Ride Sharing,1233.7300260326392,13,UPI,Luxury Goods,Suburban
358,393,Hotel Stay,1191.9328058194674,6,Debit Card,Luxury Goods,Suburban
359,168,Fuel,855.0438587479813,14,UPI,Online Marketplace,Urban
360,36,Dining,1473.5815200753939,4,Debit Card,Local Vendors,Suburban
361,375,Dining,1077.465001167042,6,Credit Card,Luxury Goods,Urban
362,304,Dining,1150.4948754603818,26,Credit Card,Online Marketplace,Rural
363,29,Flights,329.4764509172766,18,Cash,Retail Store,Urban
364,128,Electricity,784.6591490828349,7,Debit Card,Online Marketplace,Suburban
365,419,Flights,1755.3055420444284,2,Debit Card,Fuel Station,Rural
366,155,Dining,1153.924256043607,26,Credit Card,Retail Store,Urban
367,389,Ride Sharing,1500.5165503471424,12,UPI,Retail Store,Rural
368,25,Online Shopping,1970.7206951195258,15,UPI,Local Vendors,Rural
369,29,Online Shopping,125.51902566710574,22,Debit Card,Luxury Goods,Urban
370,140,Hotel Stay,481.75943005804635,27,Credit Card,Luxury Goods,Urban
371,173,Public Transport,103.63049136086849,24,Credit Card,Fuel Station,Urban
372,204,Fuel,1371.2603614516127,7,Debit Card,Online Marketplace,Suburban
373,389,Dining,90.72737865721328,25,UPI,Supermarket,Urban
374,235,Ride Sharing,438.8184578144935,11,Net Banking,Luxury Goods,Rural
375,480,Electricity,1546.911487151608,11,UPI,Supermarket,Rural
376,229,Hotel Stay,64.173619652229,20,Credit Card,Retail Store,Rural
377,272,Dining,721.7256216163504,26,UPI,Local Vendors,Suburban
378,231,Flights,396.5508509114296,7,Debit Card,Online Marketplace,Suburban
